0 set G to busy
0 set N to busy
0 set O to busy
0 set Y to busy
66 set G to done
67 set W to busy
73 set N to done
74 set J to busy
74 set O to done
75 set C to busy
75 set H to busy
84 set Y to done
137 set C to done
138 set X to busy
142 set H to done
143 set K to busy
143 set S to busy
143 set J to done
149 set W to done
150 set T to busy
213 set K to done
214 set Z to busy
221 set S to done
221 set X to done
229 set T to done
230 set F to busy
230 set L to busy
295 set F to done
296 set M to busy
299 set Z to done
300 set A to busy
301 set L to done
360 set A to done
361 set B to busy
368 set M to done
369 set D to busy
422 set B to done
423 set I to busy
432 set D to done
491 set I to done
492 set R to busy
569 set R to done
570 set E to busy
570 set P to busy
634 set E to done
645 set P to done
646 set V to busy
727 set V to done
728 set U to busy
808 set U to done
809 set Q to busy
885 set Q to done
